drug_name,review_text,rating,sentiment_label,role
Gabapentin,The medication worked very well for my condition.,10,Positive,Physician
Amoxicillin,Average effectiveness for my symptoms.,6,Neutral,User
Escitalopram,Some improvement but not very significant.,5,Neutral,Physician
Metformin,It worked okay but nothing remarkable.,4,Neutral,User
Doxycycline,It worked okay but nothing remarkable.,6,Neutral,Physician
Losartan,I experienced several side effects after taking this.,2,Negative,User
Azithromycin,I felt better within a few days of starting the medicine.,7,Positive,User
Escitalopram,Did not work well for me.,2,Negative,Physician
Gabapentin,I experienced several side effects after taking this.,2,Negative,User
Azithromycin,I experienced several side effects after taking this.,2,Negative,User
Azithromycin,The drug worked but results were moderate.,5,Neutral,User
Amoxicillin,Symptoms improved significantly after using this drug.,9,Positive,Physician
Paracetamol,Symptoms improved significantly after using this drug.,7,Positive,Physician
Ibuprofen,It worked okay but nothing remarkable.,5,Neutral,User
Amlodipine,I experienced several side effects after taking this.,3,Negative,User
Ciprofloxacin,The drug worked but results were moderate.,4,Neutral,Physician
Cetirizine,I experienced several side effects after taking this.,3,Negative,User
Montelukast,Did not work well for me.,3,Negative,Physician
Ibuprofen,I experienced several side effects after taking this.,2,Negative,Physician
Losartan,Average effectiveness for my symptoms.,4,Neutral,User
Ciprofloxacin,Very effective treatment with minimal side effects.,8,Positive,User
Ciprofloxacin,It helped slightly but took time to see results.,5,Neutral,Physician
Omeprazole,I felt better within a few days of starting the medicine.,10,Positive,User
Montelukast,Symptoms remained the same even after using it.,1,Negative,Physician
Levothyroxine,I had headaches and nausea while using this drug.,1,Negative,Physician
Paracetamol,I felt better within a few days of starting the medicine.,10,Positive,User
Diazepam,The medication did not help my symptoms.,1,Negative,User
Montelukast,It worked okay but nothing remarkable.,4,Neutral,Physician
Atorvastatin,Symptoms remained the same even after using it.,1,Negative,User
Escitalopram,Very effective treatment with minimal side effects.,9,Positive,Physician
Losartan,The drug worked but results were moderate.,4,Neutral,User
Levothyroxine,I had headaches and nausea while using this drug.,1,Negative,User
Insulin,Symptoms remained the same even after using it.,1,Negative,Physician
Omeprazole,The medication did not help my symptoms.,2,Negative,User
Paracetamol,I had headaches and nausea while using this drug.,1,Negative,User
Gabapentin,I experienced several side effects after taking this.,2,Negative,Physician
Omeprazole,It worked okay but nothing remarkable.,5,Neutral,User
Montelukast,Average effectiveness for my symptoms.,6,Neutral,User
Metformin,The medication worked very well for my condition.,10,Positive,Physician
Ibuprofen,It helped slightly but took time to see results.,4,Neutral,User
Insulin,Some improvement but not very significant.,6,Neutral,User
Pantoprazole,It worked okay but nothing remarkable.,4,Neutral,User
Metformin,Symptoms remained the same even after using it.,2,Negative,User
Gabapentin,Symptoms improved significantly after using this drug.,9,Positive,User
Losartan,Average effectiveness for my symptoms.,6,Neutral,User
Montelukast,Very effective treatment with minimal side effects.,8,Positive,Physician
Diazepam,Doctor recommended this and it helped a lot.,7,Positive,User
Doxycycline,Doctor recommended this and it helped a lot.,7,Positive,User
Azithromycin,Doctor recommended this and it helped a lot.,7,Positive,Physician
Doxycycline,Symptoms remained the same even after using it.,2,Negative,User
Insulin,Some improvement but not very significant.,4,Neutral,Physician
Doxycycline,The medication worked very well for my condition.,10,Positive,User
Omeprazole,The medication worked very well for my condition.,7,Positive,User
Ciprofloxacin,Doctor recommended this and it helped a lot.,10,Positive,User
Omeprazole,Did not work well for me.,3,Negative,User
Montelukast,The drug worked but results were moderate.,6,Neutral,User
Diazepam,Symptoms remained the same even after using it.,3,Negative,Physician
Doxycycline,I had headaches and nausea while using this drug.,1,Negative,Physician
